name,ccb,logmh,ccr,dedeg,fhi,morphel,modelu_rcorr,r50,fg,fc,fa,r90,modelu_j,den1mpc,grp,absrmag,grpcz,fmorphel,cz,radeg,logmstar
ECO03480,1.0,11.78,1.05,46.567,1,L,0.73,11.3,0,0,0,33.7,1.62,1.17,2804,-20.25,7147.5,1,7117.4,184.358,9.49
ECO03481,1.0,11.74,1.05,46.827,1,L,2.0,9.4,0,1,0,31.9,3.48,0.58,2805,-21.06,7027.9,2,7027.9,184.37,10.49
ECO03482,1.0,11.56,1.06,13.171,2,L,0.8,7.2,1,1,1,19.1,2.99,1.33,2806,-20.67,7271.2,2,7271.2,184.434,9.89
ECO03483,1.0,12.4,1.0,10.845,2,L,1.04,14.3,1,1,1,34.5,2.92,0.86,2807,-21.71,7129.1,2,7207.3,184.445,10.51
ECO03484,1.0,11.51,1.15,36.935,1,E,1.19,5.9,0,1,0,18.4,3.38,0.52,2808,-20.51,3904.8,1,3904.8,131.408,10.15
ECO03485,1.0,11.87,1.03,42.139,1,E,2.27,10.3,0,1,0,48.6,4.07,0.48,2809,-21.33,7234.8,2,7234.8,139.117,10.71
ECO03486,1.0,11.34,1.13,5.87,2,L,1.08,11.8,1,1,1,25.9,2.52,0.54,2810,-20.04,6922.4,1,6922.4,184.482,9.51
ECO03487,1.0,12.03,1.08,7.274,2,L,1.64,13.0,1,0,1,43.8,3.56,0.5,2811,-20.46,3681.2,1,3802.5,184.492,10.25
ECO03488,1.0,12.03,1.04,7.186,2,L,1.26,31.6,1,1,1,64.0,3.01,0.5,2811,-21.09,3681.2,2,3611.0,184.492,10.29
ECO03489,1.0,11.45,1.08,15.966,2,L,1.3,13.5,1,1,1,26.6,2.88,0.94,2812,-20.38,6813.7,2,6813.7,184.52,10.03
ECO03490,1.0,11.68,1.07,6.14,2,L,1.64,6.7,1,1,1,21.7,3.67,0.53,2813,-20.93,5425.0,2,5425.0,184.534,10.41
ECO03491,1.0,11.51,1.07,24.688,2,L,0.86,7.2,0,1,1,15.5,2.86,3.35,2814,-20.51,6763.9,2,6763.9,184.535,9.75
ECO03492,1.0,12.04,1.01,44.173,1,L,0.85,9.1,0,1,0,22.8,2.77,0.41,2815,-21.61,7434.7,1,7434.7,184.553,10.25
ECO03493,1.0,11.93,1.01,25.217,2,L,1.23,16.0,0,1,1,37.0,3.24,2.47,2816,-21.42,6920.5,2,6920.5,184.589,10.47
ECO03494,1.0,11.68,1.1,29.813,1,L,1.57,9.3,0,1,0,26.7,3.58,1.36,2817,-20.92,3807.8,1,3807.8,184.61,10.17
ECO03495,1.0,11.07,1.12,39.873,1,L,0.75,16.6,0,1,0,36.3,2.16,0.51,2818,-19.02,2698.4,1,2698.4,139.139,8.99
ECO03496,1.0,11.65,1.16,3.014,1,E,1.63,5.1,1,1,0,16.0,3.63,0.57,741,-20.28,6546.7,1,6610.3,184.723,10.09
ECO03497,1.0,11.38,1.18,8.962,2,E,2.23,6.4,1,1,1,19.4,3.86,0.6,2819,-20.17,4308.8,2,4308.8,184.734,10.19
ECO03498,1.0,11.61,1.07,6.184,2,L,1.04,17.1,1,1,1,35.6,2.81,0.53,2820,-20.78,5483.3,2,5483.3,184.739,10.17
ECO03499,1.0,12.0,1.07,43.612,1,E,2.38,6.8,0,1,0,23.1,4.36,1.2,2821,-21.31,7283.8,1,7255.3,184.738,10.69
